last_changed,state
1738155371916,3277.7
1738157767031,3277.8
1738157842032,3277.9
1738157912038,3278.0
1738157987042,3278.1
1738158057045,3278.2
1738158132047,3278.3
1738158202048,3278.4
1738158287052,3278.5
1738158347056,3278.6
1738160457156,3278.7
1738161387205,3278.8
1738162246284,3278.9
1738163131285,3279.0
1738164242338,3279.1
1738166425444,3279.2
1738168649723,3279.2
1738168814566,3279.2
1738169299583,3279.3
1738171058668,3279.4
1738172705751,3279.5
1738174300827,3279.6
1738176035910,3279.7
1738177705987,3279.8
1738178868043,3279.9
1738180020098,3280.0
1738180175129,3280.0
1738181170152,3280.1
1738182305231,3280.1
1738182345214,3280.2
1738183495267,3280.3
1738184651329,3280.3
1738184661325,3280.4
1738184921334,3280.4
1738185306383,3280.4
1738185846378,3280.5
1738187044444,3280.6
1738188254493,3280.7
1738189768569,3280.8
1738189923579,3280.9
1738192409699,3281.0
1738194404795,3281.1
1738196120873,3281.2
1738197901961,3281.3
1738198246975,3281.4
1738198361982,3281.5
1738198572989,3281.6
1738199990061,3281.7
1738201087115,3281.8
1738202145707,3281.9
1738203135756,3282.0
1738204311814,3282.1
1738205818887,3282.2
1738208217002,3282.3
1738210848128,3282.4
1738212384203,3282.5
1738213976281,3282.6
1738215618355,3282.7
1738217289438,3282.8
1738219905565,3282.9
1738222433682,3283.0
1738223968758,3283.1
1738225587835,3283.2
1738227263915,3283.3
1738229890038,3283.4
1738232654173,3283.5
1738234184245,3283.6
1738235805322,3283.7
1738237460405,3283.8
1738240130534,3283.9
1738242977666,3284.0
1738244601741,3284.1
1738246202820,3284.2
1738247147864,3284.3
1738247262877,3284.4
1738247377877,3284.5
1738247487880,3284.6
1738247602886,3284.7
1738247717891,3284.8
1738248498935,3284.9
1738249496572,3284.9
1738250491595,3285.0
1738252068667,3285.1
1738252733700,3285.2
1738253488778,3285.2
1738253683749,3285.3
1738253793764,3285.3
1738254649828,3285.3
1738254889803,3285.4
1738254979816,3285.4
1738256005857,3285.5
1738257151910,3285.6
1738257732943,3285.6
1738258343118,3285.7
1738258548069,3285.7
1738258948003,3285.7
1738259453100,3285.7
1738259723091,3285.7
1738259733035,3285.8
1738260393087,3285.8
1738260658100,3285.8
1738261443118,3285.9
1738263081197,3286.0
1738264176250,3286.1
1738264871280,3286.2
1738265656316,3286.3
1738266401356,3286.4
1738267251402,3286.5
1738268331453,3286.6
1738269451507,3286.7
1738270561556,3286.8
1738271696611,3286.9
1738273066674,3287.0
1738274661754,3287.1
1738276686850,3287.2
1738277606894,3287.3
1738277721902,3287.4
1738277836908,3287.5
1738277946915,3287.6
1738278796955,3287.7
1738280437033,3287.8
1738282032111,3287.9
1738283527184,3288.0
1738285757281,3288.1
1738287477366,3288.2
1738288537416,3288.3
1738289483464,3288.4
1738290443509,3288.5
1738291993584,3288.6
1738294835721,3288.7
1738296813818,3288.8
1738298338890,3288.9
1738301142027,3289.0
1738303274130,3289.1
1738304789203,3289.2
1738307505332,3289.3
1738309646435,3289.4
1738311292122,3289.5
1738314134649,3289.6
1738316123744,3289.7
1738318714739,3289.8
1738318839748,3289.9
1738318964751,3290.0
1738319089757,3290.1
1738319214766,3290.2
1738321278860,3290.3
1738322188906,3290.4
1738323064950,3290.5
1738323944992,3290.6
1738324880043,3290.7
1738326465119,3290.8
1738328128198,3290.9
1738329755274,3291.0
1738331455355,3291.1
1738333221444,3291.2
1738334867516,3291.3
1738336559596,3291.4
1738338484694,3291.5
1738340145790,3291.6
1738341400835,3291.7
1738342945909,3291.8
1738344686991,3291.9
1738346447071,3292.0
1738348143152,3292.1
1738350688273,3292.2
1738353293394,3292.3
1738354893473,3292.4
1738356583552,3292.5
1738358253635,3292.6
1738360889755,3292.7
1738362454827,3292.8
1738364364925,3292.9
1738365889997,3293.0
1738367201060,3293.1
1738368804136,3293.2
1738371627270,3293.3
1738374307399,3293.4
1738375883470,3293.5
1738377513550,3293.6
1738379689649,3293.7
1738382526788,3293.8
1738384683910,3293.9
1738386294966,3294.0
1738387985046,3294.1
1738390902184,3294.2
1738393887327,3294.3
1738395642413,3294.4
1738397467507,3294.5
1738400552645,3294.6
1738403564784,3294.7
1738405289866,3294.8
1738407125960,3294.9
1738409048048,3295.0
1738409118052,3295.1
1738409193053,3295.2
1738409268058,3295.3
1738409338062,3295.4
1738409413068,3295.5
1738409483071,3295.6
1738409553069,3295.7
1738409628075,3295.8
1738409703717,3295.9
1738409773082,3296.0
1738409848091,3296.1
1738409918087,3296.2
1738409993087,3296.3
1738410063094,3296.4
1738410138104,3296.5
1738411148145,3296.6
1738414152290,3296.7
1738422929710,3296.8
1738426475879,3296.9
1738435017285,3297.0
1738443470684,3297.1
1738447066857,3297.2
1738455380255,3297.3
1738463758656,3297.4
1738467293824,3297.5
1738475581256,3297.6
1738484235625,3297.7
1738487765805,3297.8
1738496348209,3297.9
1738505063620,3298.0
1738513800039,3298.1
1738517259205,3298.2
1738519378707,3298.2
1738525768613,3298.3
1738534374024,3298.4
1738537824185,3298.5
1738546123588,3298.6
1738547935241,3298.7
1738548645256,3298.8
1738550252332,3298.9
1738552155425,3299.0
1738554961553,3299.1
1738557396674,3299.2
1738558987748,3299.3
1738560597829,3299.4
1738562248910,3299.5
1738564839033,3299.6
1738567431153,3299.7
1738568985228,3299.8
1738570580304,3299.9
1738572204383,3300.0
1738574414483,3300.1
1738577228616,3300.2
1738579125709,3300.3
1738580735788,3300.4
1738582370867,3300.5
1738584902985,3300.6
1738587714122,3300.7
1738588609166,3300.8
1738588679169,3300.9
1738588749168,3301.0
1738588819174,3301.1
1738590389243,3301.2
1738592030324,3301.3
1738593676404,3301.4
1738595842504,3301.5
1738598654642,3301.6
1738600564731,3301.7
1738602170808,3301.8
1738603806884,3301.9
1738605694977,3302.0
1738608505111,3302.1
1738610807217,3302.2
1738612397297,3302.3
1738614012374,3302.4
1738615642453,3302.5
1738617272527,3302.6
1738619682642,3302.7
1738622524780,3302.8
1738624405869,3302.9
1738626005947,3303.0
1738627633020,3303.1
1738630204145,3303.2
1738633025275,3303.3
1738634871366,3303.4
1738636471447,3303.5
1738638095523,3303.6
1738640561634,3303.7
1738643400769,3303.8
1738645273860,3303.9
1738646878939,3304.0
1738648503016,3304.1
1738651099139,3304.2
1738653949269,3304.3
1738655729355,3304.4
1738657319448,3304.5
1738658950506,3304.6
1738661756641,3304.7
1738664569776,3304.8
1738666239859,3304.9
1738667851942,3305.0
1738669747023,3305.1
1738673869025,3306.2
1738674483963,3306.3
1738675143993,3306.4
1738675824032,3306.5
1738676539061,3306.6
1738677634121,3306.7
1738679024184,3306.8
